product_id,product_name,category_id,category_name,unit_cost,unit_price
P00432,Pro Headphones 432,CAT00000,Automotive,362.49,426.62
P00433,Prime Notebook 433,CAT00010,Health,187.76,358.31
P00434,Mini Shirt 434,CAT00012,Jewelry,294.45,422.67
P00435,Plus Mixer 435,CAT00013,Music,312.34,794.47
P00436,Basic Notebook 436,CAT00015,Pets,41.7,75.27
P00437,Mini Notebook 437,CAT00001,Baby,218.25,430.16
P00438,Basic Notebook 438,CAT00019,Travel,332.3,715.77
P00439,Classic Puzzle 439,CAT00007,Gaming,297.94,763.39
P00440,Basic Shirt 440,CAT00006,Furniture,254.49,698.9
P00441,Basic Desk 441,CAT00005,Electronics,185.32,482.87
P00442,Pro Mixer 442,CAT00011,Home Appliances,59.04,114.59
P00443,Smart Puzzle 443,CAT00003,Books,337.64,456.41
P00444,Basic Ball 444,CAT00002,Beauty,101.01,270.28
P00445,Nova Desk 445,CAT00017,Sports,306.96,389.09
P00446,Nova Coffee 446,CAT00018,Toys,315.88,760.78
P00447,Prime Puzzle 447,CAT00004,Clothing,292.42,402.58
P00448,Plus Notebook 448,CAT00016,Shoes,301.44,406.31
P00449,Mini Cream 449,CAT00009,Grocery,80.17,173.91
P00450,Smart Headphones 450,CAT00014,Office,72.78,172.51
P00451,Max Coffee 451,CAT00008,Garden,384.53,832.72
P00452,Plus Ball 452,CAT00000,Automotive,277.1,374.74
P00453,Basic Sneakers 453,CAT00010,Health,151.96,405.64
P00454,Max Mixer 454,CAT00012,Jewelry,135.82,163.81
P00455,Nova Ball 455,CAT00013,Music,28.86,60.04
P00456,Pro Desk 456,CAT00015,Pets,341.2,753.86
P00457,Plus Sneakers 457,CAT00001,Baby,51.47,111.57
P00458,Nova Cream 458,CAT00019,Travel,243.73,604.02
P00459,Classic Sneakers 459,CAT00007,Gaming,36.87,67.96
P00460,Classic Shirt 460,CAT00006,Furniture,302.05,615.0
P00461,Basic Puzzle 461,CAT00005,Electronics,340.36,576.15
P00462,Basic Sneakers 462,CAT00011,Home Appliances,8.73,11.05
P00463,Plus Puzzle 463,CAT00003,Books,68.42,131.58
P00464,Classic Coffee 464,CAT00002,Beauty,251.12,453.84
P00465,Prime Desk 465,CAT00017,Sports,17.93,41.34
P00466,Classic Mixer 466,CAT00018,Toys,194.76,453.54
P00467,Nova Headphones 467,CAT00004,Clothing,191.58,471.9
P00468,Basic Headphones 468,CAT00016,Shoes,365.42,841.75
P00469,Prime Desk 469,CAT00009,Grocery,73.29,87.48
P00470,Nova Notebook 470,CAT00014,Office,126.78,262.45
P00471,Max Puzzle 471,CAT00008,Garden,150.94,415.48
P00472,Pro Desk 472,CAT00000,Automotive,74.87,99.86
P00473,Prime Cream 473,CAT00010,Health,292.84,379.75
P00474,Max Mixer 474,CAT00012,Jewelry,62.67,140.44
P00475,Pro Puzzle 475,CAT00013,Music,76.34,120.89
P00476,Plus Puzzle 476,CAT00015,Pets,358.21,718.34
P00477,Eco Notebook 477,CAT00001,Baby,324.84,410.46
P00478,Plus Coffee 478,CAT00019,Travel,277.37,601.41
P00479,Nova Mixer 479,CAT00007,Gaming,124.51,153.77
P00480,Plus Desk 480,CAT00006,Furniture,166.69,265.11
P00481,Pro Desk 481,CAT00005,Electronics,333.13,838.02
P00482,Classic Coffee 482,CAT00011,Home Appliances,63.22,175.51
P00483,Classic Sneakers 483,CAT00003,Books,28.75,41.93
P00484,Classic Mixer 484,CAT00002,Beauty,335.8,844.89
P00485,Classic Desk 485,CAT00017,Sports,77.9,130.26
P00486,Classic Notebook 486,CAT00018,Toys,87.08,132.29
P00487,Mini Ball 487,CAT00004,Clothing,172.08,389.03
P00488,Basic Shirt 488,CAT00016,Shoes,28.99,52.72
P00489,Pro Mixer 489,CAT00009,Grocery,13.76,28.98
P00490,Classic Sneakers 490,CAT00014,Office,201.05,322.63
P00491,Classic Desk 491,CAT00008,Garden,287.98,508.98
P00492,Eco Sneakers 492,CAT00000,Automotive,247.47,496.34
P00493,Smart Ball 493,CAT00010,Health,196.16,387.38
P00494,Max Coffee 494,CAT00012,Jewelry,296.19,380.07
P00495,Prime Puzzle 495,CAT00013,Music,266.31,335.43
P00496,Basic Sneakers 496,CAT00015,Pets,175.81,360.45
P00497,Eco Headphones 497,CAT00001,Baby,117.38,175.5
P00498,Prime Coffee 498,CAT00019,Travel,36.32,65.61
P00499,Pro Coffee 499,CAT00007,Gaming,373.77,660.87
P00500,Nova Headphones 500,CAT00006,Furniture,126.81,193.21
